Store,Weekday_mean,Weekday_variance
Countdown Airport,6.5,4.73099415204679
Countdown Auckland City,8,4.71929824561403
Countdown Birkenhead,8.5,6.94152046783626
Countdown Blockhouse Bay,7,5.06432748538012
Countdown Botany Downs,8,3.65497076023392
Countdown Browns Bay,7,9.25146198830409
Countdown Glenfield,7,5.71929824561403
Countdown Greenlane,8,7.2280701754386
Countdown Grey Lynn,9,6.87134502923977
Countdown Grey Lynn Central,7.5,8.80701754385965
Countdown Hauraki Corner,6,5.65497076023392
Countdown Henderson,8,6.70760233918128
Countdown Highland Park,7,8.46783625730994
Countdown Hobsonville,8,4.36842105263158
Countdown Howick,8.5,7.56140350877193
Countdown Kelston,7,7.5906432748538
Countdown Lincoln Road,9,6.21052631578947
Countdown Lynfield,7.5,7.02923976608187
Countdown Lynmall,7,3.56140350877193
Countdown Mairangi Bay,8.5,6.57894736842105
Countdown Mangere East,7,4.26315789473684
Countdown Mangere Mall,7,6.32163742690059
Countdown Manukau,8,4.81286549707602
Countdown Manukau Mall,8,5.76023391812865
Countdown Manurewa,8,5.73099415204678
Countdown Meadowbank,7.5,5.27485380116959
Countdown Meadowlands,8,5.25146198830409
Countdown Metro Albert Street,4,2.21241830065359
Countdown Milford,7,6.76608187134503
Countdown Mt Eden,6,6.73099415204678
Countdown Mt Roskill,7.5,3.80701754385965
Countdown Mt Wellington,8,9.00584795321637
Countdown Newmarket,6,8.71929824561404
Countdown Northcote,6,3.2046783625731
Countdown Northwest,7.5,5.36842105263158
Countdown Onehunga,7,4.76023391812865
Countdown Pakuranga,8,3.76023391812865
Countdown Papakura,6.5,5.33333333333333
Countdown Papatoetoe,8,6.67251461988304
Countdown Ponsonby,9,9.91228070175439
Countdown Pt Chevalier,8,5.58479532163743
Countdown Roselands,8,5.37426900584796
Countdown St Johns,7,4.02923976608187
Countdown St Lukes,6,6.80701754385965
Countdown Sunnynook,8.5,4.33918128654971
Countdown Sylvia Park,7.5,8.88888888888889
Countdown Takanini,8,8.4795321637427
Countdown Takapuna,7,6.98245614035088
Countdown Te Atatu,6,6.15204678362573
Countdown Te Atatu South,8,5.02923976608187
Countdown Three Kings,8,6.21052631578947
Countdown Victoria Street West,8.5,8.91812865497076
Countdown Westgate,7,5.94152046783626
FreshChoice Half Moon Bay,4,2.13398692810457
FreshChoice Mangere Bridge,4.5,3.17647058823529
FreshChoice Otahuhu,3.5,1.31045751633987
FreshChoice Ranui,4.5,1.50653594771242
SuperValue Avondale,4.5,2.36928104575163
SuperValue Flatbush,4.5,1.94771241830065
SuperValue Palomino,5,2.33006535947712
SuperValue Titirangi,4,2.56535947712418